Object Number,variable,artist
"C.I.58.49.4a, b",1,Townley
"C.I.60.21.1a, b",0,"Dior, Christian"
"C.I.60.21.1a, b",1,"Dior, House of"
C.I.61.40.4,0,"Poiret, Paul"
C.I.66.14.2,0,"Garthwaite, Anna Maria"
C.I.66.14.2,1,Lekeux Peter
C.I.68.53.5a–h,0,Rossberg Herman
C.I.69.23,0,Saint Laurent Yves
C.I.69.23,1,"Saint Laurent Yves, Paris"
C.I.X.56.2.1,0,Paquin House of
C.I.X.56.2.1,1,Paquin Jeanne
DA447.G7 H26 1876,0,"Hamilton, Anthony, Count"
DA447.G7 H26 1876,1,"Chauvet, Jules Adolphe"
DA447.G7 H26 1876,2,"Lamire, Leon"
DA447.G7 H26 1876,3,Marius Michel et fils
DC122.8 .P413 1785,0,"Le Moine, L. H."
DC122.8 .P413 1785,1,de Perefixe Hardouin
DC130.L14 L14 1749,0,"Auguste, Charles, marquis de La Fare"
DC611.N846 A5 1788,0,La Veuve Besongne & Fils
DH188.H67 W47 1568,0,"Wesenbeke, Jacques de"
F595 .R38 1895,0,Harper & Brothers
F595 .R38 1895,1,"Remington, Frederic"
G150 .A45 1820,0,Marcilly
GB1321 .M68 1766,0,"Moura Portugal, Bento de"
GT2050 .U813 1884,0,"Avril, Paul"
GT2050 .U813 1884,1,"Nimmo, J. C. and Bain"
GT2050 .U813 1884,2,"Uzanne, Octave"
GV1801 .L6 1889,0,Le Roux Hugues
GV1801 .L6 1889,1,"Garnier, Jules"
GV1801 .L6 1889,2,"Plon E., Nourrit et Cie."
KKL273.1.Z94 C4 1815,0,"Lodigiani, Luigi"
"L.2009.22.279a, b",0,"Ohr, George E."
M2149.5 .C5 1768,0,Catholic Church
M2149.5 .C5 1768,1,Baudouin
N6659.P32 A4 1976,0,Galeria Arte Global
N6659.P32 A4 1976,1,"Pape, Lygia"
N6659.P32 A4 1976,2,"Oiticica, Hélio"
N7433.4.B76 P43 1966,0,"Broodthaers, Marcel"
N7433.4.C65 D43 2015,0,Black Stone Press
N7433.4.C65 D43 2015,1,Heavenly Monkey
N7433.4.C65 D43 2015,2,"Cohen, Claudia"
N7433.4.C65 D43 2015,3,"Hodgson, Barbara"
NC765 .A9 1683 Q,0,"Audran, Girard"
ND3365.G7 B74 2009a Q,0,"Brotto, Carlo Bertoncello"
ND3365.G7 B74 2009a Q,1,"Malato, Enrico"
ND3365.G7 B74 2009a Q,2,Biblioteca Nazionale Marciana
ND3365.G7 B74 2009a Q,3,Salerno Editrice
ND616 .G35 1812,0,"Landon, Charles-Paul"
ND616 .G35 1812,1,Chaignieau
ND616 .G35 1812,2,Simier
NE2049.5.W38 W38 1710,0,"Watteau, Antoine"
NE2049.5.W38 W38 1710,1,"Cochin, Charles Nicolas, I"
NE2049.5.W38 W38 1710,2,"Desplaces, Louis"
NE2049.5.W38 W38 1710,3,"Thomassin, Henri Simon"
NE2049.5.W38 W38 1710,4,Hardy-Mennil
NK1483 .J7 1867 Q,0,"Gilbert, S. & T."
NK1483 .J7 1867 Q,1,"Jones, Owen"
NK1510 .J7 1868 Q,0,"Jones, Owen"
NK1510 .J7 1868 Q,1,"Westwood, J. O."
NK1510 .J7 1868 Q,2,"Wyatt, Matthew Digby Sir"
NK1510 .J7 1868 Q,3,Bernard Quaritch Ltd.
NK1510 .J7 1868 Q,4,"Waring, J. B."
NK1530 .A5 1930,0,"Washburn, Ives"
NK1530 .A5 1930,1,Glassgold A. C.
NK1530 .A5 1930,2,"Leonard, Robert"
NK1530 .A5 1930,3,American Union of Decorative Artists and Craftsmen
NK1700 .I57 Q v.1 1900,0,"Schroll, A."
NK1700 .I57 Q v.1 1900,1,"Abels, Ludwig"
NK1700 .I57 Q v.2 1901,0,"Schroll, A."
NK1700 .I57 Q v.2 1901,1,"Abels, Ludwig"
NK2229 .S54 1793,0,"Sheraton, Thomas"
NK2229 .S54 1793,1,"Bensley, Thomas"
NK7983.A1 W36 1752,0,"Wang, Fu"
NX511.A88 A88 1971 Quarto,0,"Andrews, Benny"
NX511.A88 A88 1971 Quarto,1,"Baranik, Rudolf"
NX511.A88 A88 1971 Quarto,2,Black Emergency Cultural Coalition and Artists and Writers Protest Against the War in Vietnam
PA4375.M8 D3 1772,0,Plutarch
PA4375.M8 D3 1772,1,L'Imprimerie Royale
PA4375.M8 D3 1772,2,"La Porte du Theil, François Jean Gabriel de"
PA6525.H4 N3 1762,0,Ovid
PA6525.H4 N3 1762,1,"Gregori, Carlo"
PA6525.H4 N3 1762,2,Durand
PA6525.H4 N3 1762,3,"Conti, Giovan Stefano"
PA6525.H4 N3 1762,4,"Nannini, Remigio"
PA6555 .A2 1585,0,"Pithou, Pierre"
PA6555 .A2 1585,1,Sulpicia
PA6555 .A2 1585,2,Persius
PA6555 .A2 1585,3,"Estienne, Robert"
PA6555 .A2 1585,4,"Patisson, Mamert"
PA6555 .A2 1585,5,"Juvenal, Decimus Junius"
PA6558 .A5 1726,0,"Lavaur, M. (Guillaume de)"
PA6558 .A5 1726,1,Petronius Arbiter
PL2693.H76 H74 1977 Quarto,0,"Wang, Shifu"
PL2693.H76 H74 1977 Quarto,1,Min Qiji
PL2693.H76 H74 1977 Quarto,2,"Dittrich, Edith"
PN1489 .M37 1651,0,"Martin, Docteur (Louis)"
PN1489 .M37 1651,1,"Belleau, Remy"
PN1489 .M37 1651,2,"Joly, Robert "
PN1489 .M37 1651,3,"Moynet, Simon"
PN1489 .M37 1651,4,"Folengo, Theophilo"
PN6231.P6 B63 1669,0,"Blaeu, Johannes"
PN6231.P6 B63 1669,1,"Briani, Girolamo"
PN6231.P6 B63 1669,2,Simier
PN6231.P6 B63 1669,3,"Boccalini, Traiano"
PQ1189 .M66 1765,0,Barbou
PQ1189 .M66 1765,1,"Monnet, Jean"
PQ1189 .M66 1765,2,"de Querlon, Anne Gabriel Meusnier"
PQ1795 .T5 1790,0,"Fénelon, François de Salignac de La Mothe-"
PQ1795 .T5 1790,1,"Cochin, Charles Nicolas, II"
PQ1795 .T5 1790,2,"Moreau, Jean Michel, the Younger"
PQ1795 .T5 1790,3,"Bozerian, Jean Claude"
PQ1809 .A1 1795,0,"Boileau Despréaux, Nicolas"
PQ1809 .A1 1795,1,"La Fontaine, Jean de"
PQ1809 .A1 1795,2,"Eisen, Charles Dominique Joseph"
PQ1809 .A1 1795,3,"Didot, Pierre l'ainé"
PQ1821 1773,0,"Bret, M. (Antoine)"
PQ1821 1773,1,"Lambert, Michel"
PQ1821 1773,2,"Molière, Jean-Baptiste Poquelin"
PQ1821 1773,3,Voltaire
PQ1821 1773,4,"Mignard, Pierre"
PQ1821 1773,5,"Moreau, Jean Michel, the Younger"
PQ1821 1773,6,Compagnie des libraires associés
PQ1954.A54 L4 1741,0,"Argens, Jean-Baptiste de Boyer, marquis d'"
PQ1954.A54 L4 1741,1,Pierre Paupie
PQ2067.T28 D4 1770,0,"Thiroux d'Arconville, Marie Geneviève Charlotte Darlus"
PQ2067.T28 D4 1770,1,"Diderot, Denis"
PQ2067.T28 D4 1770,2,Compagnie des libraires associés
PQ4272.F5 A34 1697,0,Kleihnans
PQ4272.F5 A34 1697,1,"Gallet, George"
PQ4272.F5 A34 1697,2,"Boccaccio, Giovanni"
PQ4272.F5 A34 1697,3,"Hooghe, Romeyn de"
PQ4567 .A2 1584,0,"Lavezzola, Alberto"
PQ4567 .A2 1584,1,"Garofolo, Girolamo"
PQ4567 .A2 1584,2,"Bononome, Giuseppe"
PQ4567 .A2 1584,3,"Groto, Luigi"
PQ4567 .A2 1584,4,"Eugenico, Niccolò"
PQ4567 .A2 1584,5,"Ariosto, Ludovico"
PQ4567 .A2 1584,6,"Pigna, Giovanni Battista"
PQ4567 .A2 1584,7,"Rota, Giovanni"
PQ4567 .A2 1584,8,"Camilli, Camillo"
PQ4567 .A2 1584,9,"Ruscelli, Girolamo (Alessio Piemontese)"
PQ4567 .A2 1584,10,Franceschi Francesco de'
PQ4567 .A2 1584,11,"Porro, Girolamo"
PS2267 .A1 1891,0,Houghton Mifflin Company
PS2267 .A1 1891,1,"Remington, Frederic"
PS2267 .A1 1891,2,"Longfellow, Henry Wadsworth"
PS3519.O2625 G6 1927,0,"Douglas, Aaron"
PS3519.O2625 G6 1927,1,"Johnson, James Weldon"
PS3519.O2625 G6 1927,2,Viking Press
PS3519.O2625 G6 1927,3,"Falls, Charles B."
QB7 .C15 1772,0,Pierre de Goesin
SB472.32.E54 W48 1771,0,"Latapie, François de Paule"
SB472.32.E54 W48 1771,1,"Whately, Thomas"
SB472.32.E54 W48 1771,2,"Jombert, Charles Antoine"
TA71 .F73 1829,0,Ministère de l'intérieur
TA71 .F73 1829,1,L'Imprimerie Royale
TL620.A1 A6 1784,0,Chez Jubert
TL620.A1 A6 1784a,0,Chez Desnos
TS1484 .B56 1777,0,"Bernieres, de"
TS1484 .B56 1777,1,Clousier
U101 .M7814 1760,0,"Montecuccoli, Raimondo, Prince"
U565 .S68 1740,0,"Sparre, Baron de"
U565 .S68 1740,1,Padeloup
U820.A9 S34 1603 F,0,"Schrenck von Nozing, Jacob"
U820.A9 S34 1603 F,1,"Noyse von Campenhouten, Johann Engelbert"
U820.A9 S34 1603 F,2,"Baur, Daniel"
U820.A9 S34 1603 F,3,"Custos, Dominicus"
U820.A9 S34 1603 F,4,"Fontana, Giovanni Battista"
UD S83 1842 v.1,0,Stephens John Lloyd
UD S83 1843 v.2,0,Stephens John Lloyd
